"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name"
"11856","ENSG00000166292",525.4304207665,2.64463575949694,8.18436394793226e-13,1.14779967666048e-10,"TMEM100"
"11964","ENSG00000166743",20.0508540965724,-1.00165938255122,0.00723737691787082,0.0319831939168675,"ACSM1"
"12064","ENSG00000167105",15.3472728803407,-1.39223619989849,0.000569515706425164,0.00412558662351727,"TMEM92"
"12257","ENSG00000167851",356.117348733252,1.21785785704117,0.000265933364856168,0.00220535842665468,"CD300A"
"12271","ENSG00000167914",10.6271600653928,1.29638308242418,0.00220665152052963,0.0123257073207026,"GSDMA"
"12294","ENSG00000167995",253.444043716038,1.46287301570165,6.11320206452936e-08,1.97704116767947e-06,"BEST1"
"12375","ENSG00000168309",87.8149930609596,3.05067578443475,3.48668472653885e-18,1.77359969513362e-15,"FAM107A"
"12404","ENSG00000168447",2397.43109080521,-1.24001881532185,0.00110655829213089,0.00703722147983235,"SCNN1B"
"12430","ENSG00000168546",653.138783013898,1.4977753562531,7.34009430910258e-13,1.05402349475974e-10,"GFRA2"
"12459","ENSG00000168702",3.24510157301004,-1.3787677525045,0.000310745359115747,0.00250230472706783,"LRP1B"
"12493","ENSG00000168843",2.1323170060238,1.50583889862825,0.00273927470986316,0.0146674598737579,"FSTL5"
"12545","ENSG00000169047",2584.87140353267,1.17694945308711,3.59402534406012e-06,6.22411359641848e-05,"IRS1"
"12632","ENSG00000169403",973.364558489517,1.14919231683229,9.12586730556137e-06,0.000135252113370127,"PTAFR"
"12660","ENSG00000169554",5243.42566288477,1.23110838691949,1.75841667995822e-06,3.42463344574342e-05,"ZEB2"
"12672","ENSG00000169605",111.402056394433,1.2751595632776,0.00391126878472676,0.019619755769216,"GKN1"
"12704","ENSG00000169744",960.136776060795,1.29829068064902,8.04458707090707e-08,2.49158046617196e-06,"LDB2"
"12802","ENSG00000170162",10.9698204852925,1.51425372428661,0.00464087262160535,0.0225886910670807,"VGLL2"
"12811","ENSG00000170214",11.5200424254226,1.11286817881157,0.00406111179343222,0.0202361094379027,"ADRA1B"
"12850","ENSG00000170370",13.1339510788654,-1.63854359216056,5.65676174665266e-05,0.000620932000946847,"EMX2"
"12854","ENSG00000170381",47.4614944359001,1.31085298695473,0.000613864822314868,0.0043854584735334,"SEMA3E"
